Date,Predicted_Sales
2018-01-01,51112.59183100005
2018-02-01,36407.073344000004
2018-03-01,54006.988559999976
2018-04-01,31702.46104400004
2018-05-01,74557.14923500002
2018-06-01,31902.238513999997
